company,location,date,jobs,naics,source
Milliken & Company,Judson,04/13/2015,199,313110,sc/2015.pdf
Jacobs,Goose Creek,07/10/2015,60,541711,sc/2015.pdf
Sodexo,Florence,06/30/2015,54,722310,sc/2015.pdf
Worthington,Florence,06/01/2015,308,333120,sc/2015.pdf
UTI,N. Charleston,07/31/2015,100,488510,sc/2015.pdf
Bose,Blythewood,09/18/2015,300,454111,sc/2015.pdf
"DTZ, Inc.",Orangeburg,06/30/2015,100,561210,sc/2015.pdf
Piedmont Health Group,Greenwood,07/01/2015,129,621111,sc/2015.pdf
Wells Fargo & Co.,Columbia,04/29/2015,51,522292,sc/2015.pdf
Honeywell,Goose Creek,07/15/2015,337,54133,sc/2015.pdf
Mohawk Industries,Landrum,12/31//2015,150,314110,sc/2015.pdf
ArcelorMital,Georgetown,07/24/2015,198,331110,sc/2015.pdf
ESAB,Florence,03/31/2016,319,333992,sc/2015.pdf
Aiken/Barnwell CountiesCommunity Action Agcy.,Aiken,06/30/2015,82,62411,sc/2015.pdf
Urban Outfitters,Trenton,08/18/2015,327,452910,sc/2015.pdf
First Citizens,Columbia,09/01/2015,77,522292,sc/2015.pdf
Pillar Hotels & Resorts,Charleston,09/01/2015,52,721110,sc/2015.pdf
Sodexo,Orangeburg,08/03/2015,94,722310,sc/2015.pdf
Hill-Rom Holdings Inc.,Charleston,09/15/2015,70,339112,sc/2015.pdf
UTi,Lugoff,08/24/2015,120,541611,sc/2015.pdf
CTS (Coyne TextileServices),Greenville,10/31/2015,66,333318,sc/2015.pdf
UnitedHealth Group,Duncan,10/31/2015,85,524114,sc/2015.pdf
Wells Fargo & Co,Fort Mill,11/15/2015,103,522292,sc/2015.pdf
Belk,Union,01/15/2016,28,452111,sc/2015.pdf
Maxim Healthcare Services,Columbia,12/15/2015,130,621610,sc/2015.pdf
Century Aluminum,Mount Holly,12/22/2015,487,331318,sc/2015.pdf
Consumers Choice,"Columbia,Greenville, NorthCharleston",11/30/2015,82,524210,sc/2015.pdf
Carolina Furniture,Sumter,01/06/2014,68,33712,sc/2014.pdf
"American LaFrance, LLC",Moncks Corner,02/04/2014,101,336120,sc/2014.pdf
Gannett Publishing Services,Greenville,05/05/2014,117,511110,sc/2014.pdf
"Champion Laboratories,Inc. (Fram)",York,07/18/2014,229,333318,sc/2014.pdf
Bi-Lo Holdings,Orangeburg,05/31/2014,54,551114,sc/2014.pdf
"SSP America, Inc.",Charleston,05/31/2014,63,722211,sc/2014.pdf
Metrolina Greenhouses,Pendleton,05/31/2014,57,424930,sc/2014.pdf
Amcor Rigid Plastics,Blythewood,06/09/2014,41,326160,sc/2014.pdf
"Jostens, Inc",Laurens,09/30/2014,67,453998,sc/2014.pdf
Pepsi Beverages Company,Columbia,05/12/2014,104,312111,sc/2014.pdf
General Dynamics,Ladson,07/01/2014,153,336992,sc/2014.pdf
Caterpillar,107 Fountain Inn,12/31/2014,235,333120,sc/2014.pdf
Caterpillar,111 Fountain Inn,12/31/2014,120,333120,sc/2014.pdf
Nevamar,Hampton,10/12/2014,236,326130,sc/2014.pdf
Mundy Maintenance,Greenwood,10/26/2014,136,313110,sc/2014.pdf
Belk,Columbia,01/15/2015,92,452111,sc/2014.pdf
Faurecia,Spartanburg,12/05/2014,99,336390,sc/2014.pdf
ResMed,Spartanburg,06/30/2015,49,624190,sc/2014.pdf
Bank of America,Columbia,01/31/2015,68,522110,sc/2014.pdf
"HGM, Haile Gold Mine,Inc.",Kershaw,02/13/2015,50,212221,sc/2014.pdf
Fast Lane of Rock Hill,Rock Hill,2/25/2013,31,722511,sc/2013.pdf
SafeAuto InsuranceCompany,Hemingway,3/19/2013,164,524210,sc/2013.pdf
Titanium Holdings,Fort Mill,3/31/2013,95,551112,sc/2013.pdf
Bi-Lo,Greenville,4/17/2013,130,551114,sc/2013.pdf
"DSE Systems, Inc.",Gaffney,5/31/2013,42,332992,sc/2013.pdf
Mortgage Bank,Florence,6/4/2013,573,522292,sc/2013.pdf
"Newman Technology SouthCarolina, Inc.",Aiken,6/7/2013,214,423120,sc/2013.pdf
"Jostens, Inc.",Laurens,6/24/2013,63,453998,sc/2013.pdf
"Spartanburg Steel Products,Inc.",Spartanburg,7/1/2013,64,332111,sc/2013.pdf
Sunland Logistics Solutions,Greenville,7/1/2013,47,493110,sc/2013.pdf
Sunland Staffing,Greenville,7/1/2013,52,561320,sc/2013.pdf
"Capitol ManagementServices, LP",Greenville,07/29/2013,36,561440,sc/2013.pdf
"First Center, LLC",Greenville,07/29/2013,85,519190,sc/2013.pdf
Joy Global,Belton,8/1/2013,77,332111,sc/2013.pdf
Shaw Project ServicesGroup,Aiken,8/6/2013,485,541330,sc/2013.pdf
AREVA Federal ServicesLLC,Aiken,8/6/2013,,541330,sc/2013.pdf
Filtration Group,York,8/16/2013,96,333413,sc/2013.pdf
Palmetto GBA,Columbia,8/23/2013,126,524114,sc/2013.pdf
Stacy’s Greenhouses,York,9/8/2013,656,111421,sc/2013.pdf
Stacy’s Greenhouses,Pendleton,9/8/2013,61,111421,sc/2013.pdf
"Pepperidge Farm, Inc.",Aiken,9/27/2013,115,722330,sc/2013.pdf
"International AutomotiveComponents, LLC",Greenville,12/20/2013,164,326199,sc/2013.pdf
"General NutritionCompanies, Inc.",Anderson,10/11/2013,50,493110,sc/2013.pdf
CGI Federal,North Charleston,11/30/2013,88,518210,sc/2013.pdf
Piggly Wiggly,Summerville,03/31/2014,85,445110,sc/2013.pdf
Piggly Wiggly,North Charleston,03/31/2014,64,445110,sc/2013.pdf
SCE&G,Walterboro,12/31/2013,67,221112,sc/2013.pdf
Mortgage Bank,Florence,,23,522292,sc/2013.pdf
"Caterpillar, Inc.",Summerville,,250,333120,sc/2013.pdf
Harvey Industries DieCasting LLC,Aiken,11/21/2013,150,331523,sc/2013.pdf
Heinz,Florence,03/21/2014,198,311999,sc/2013.pdf
