Company,City,Affected Workers,Notice Received,Original Notice Type / Update Type,Layoff Begin Date,NAICS Description,CountyWorkforce Development Area
Superior Silica Sands-Arland Facility,Clayton,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Polk,West Central
Superior Silica Sands-CRM Facility,Clayton,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Polk,West Central
Superior Silica Sands-FLS Facility,Clayton,10,3/24/2016,WR,03/21/2016,Construction Sand & Gravel Mining,Polk,West Central
Unimin Corporation,Tunnel City,65,3/24/2016,CL,03/21/2016,Ind Sand Mining,Monroe,Western
Unimin Corporation - Revision 1,Tunnel City,0,7/7/2016,RN,03/21/2016,Ind Sand Mining,Monroe,Western
Rock-Walworth Comprehensive Family Services Inc.-Merrill Head Start,Janesville,10,3/24/2016,WR,05/25/2016,Child Day Care Services,Rock,Southwest
"Maslow Media Group, Inc.",Milwaukee,1,3/21/2016,CL,04/20/2016,Teleproduction & Postproduction Services,Milwaukee,Milwaukee
"Five Star Quality Care, Inc.",Pewaukee,144,3/8/2016,CL,05/17/2016,Assisted Living Facilities for the Elderly,Waukesha,WOW
"OEM Fabricators, Inc.",Baldwin,34,3/3/2016,CL,04/30/2016,Other Industrial Machinery Mfg,St. Croix,West Central
W.D. Hoard & Sons Co.,Fort Atkinson,3,3/31/2016,LS,04/15/2016,Commercial Gravure Printing,Jefferson,South Central
Mexican Accent LLC,New Berlin,155,2/19/2016,CL,04/22/2016,Other Snack Food Mfg,Waukesha,WOW
"Publications International, Ltd.",Yorkville,50,2/2/2016,CL,04/01/2016,Book & Periodical Merch Whls,Racine,South East
Eaton Corporation,Watertown,91,2/24/2016,AW,06/30/2015,Relay & Ind Control Mfg,Jefferson,South Central
Manitowoc Cranes,Port Washington,80,2/22/2016,RN,06/02/2016,Misc Fabricated Metal Product Mfg,Ozaukee,WOW
BuySeasons,New Berlin,128,1/29/2016,CL,04/01/2016,Other Cut and Sew Apparel Manufacturing,Waukesha,WOW
JP Morgan Chase & Co,Milwaukee,135,1/26/2016,WR,03/26/2016,Commercial Banking,Milwaukee,Milwaukee
Walmart #3030,Wauwatosa,78,1/19/2016,CL,04/15/2016,Supermarkets & Other Grocery Stores,Milwaukee,Milwaukee
Walmart #3031,Menomonee Falls,76,1/19/2016,CL,04/15/2016,Supermarkets & Other Grocery Stores,Waukesha,WOW
Walmart #3496,Milwaukee,272,1/19/2016,CL,04/15/2016,Supermarkets & Other Grocery Stores,Milwaukee,Milwaukee
Walmart #5698,Waukesha,61,1/19/2016,CL,04/15/2016,Supermarkets & Other Grocery Stores,Waukesha,WOW
Sealed Air Corporation,Mount Pleasant,45,1/15/2016,CL,03/31/2016,Ind Paper Merch Whls,Racine,Southeast
Sealed Air Corporation - Revision 1,Mount Pleasant,45,5/5/2016,LS,03/25/2016,Ind Paper Merch Whls,Racine,Southeast
Grainger - Imperial Supplies,Green Bay,50,1/11/2016,WR,03/18/2016,Hardware Merch Whls,Brown,Bay Area
"Oscar Meyer Div, Kraft Heinz Food Company",Madison,141,1/6/2016,CL,02/26/2016,Meat Processed from Carcasses,Dane,South Central
W.D. Hoard & Sons Co.,Fort Atkinson,3,1/29/2016,LS,03/18/2016,Commercial Gravure Printing,Jefferson,South Central
"ConAgra Foods, Inc.",Ripon,285,1/25/2016,LS,04/01/2016,Cookie & Cracker Mfg,Winnebago,Fox Valley
Sealed Air Corporation,Sturtevant,29,1/15/2016,LS,03/15/2016,Ind Paper Merch Whls,Racine,Southeast
Semco Windows and Doors,Merrill,141,20200102,CL,12/31/2019,Wood Window & Door Mfg.,Lincoln,North Central
OEMMCCO Inc.,Kenosha,49,20200110,CL,3/31/2020,Machine Shops,Kenosha,Southeast
Eastek Automated Circuit,Menomonee Falls,36,20200128,WR,3/31/2020,Printed Circuit Assembly Mfg,Waukesha,WOW
Marquis Yachts,Pulaski,344,20200130,CL,3/1/2020,Boat Bldg,Brown,Bay Area
FPM Heat Treating,Milwaukee,27,20200130,CL,4/1/2020,Metal Heat Treating,Milwaukee,Milwaukee
US Bank,Milwaukee,62,20200203,WR,4/6/2020,Commercial Banking,Milwaukee,Milwaukee
Compass Group,Neenah,30,20200203,CL,3/31/2020,Janitorial Services,Winnebago,Fox Valley
"IDEXX Distribution, Inc.",Marshfield,38,20200214,CL,5/1/2020,Veterinary Services,Wood,North Central
"IDEXX Distribution, Inc.",Waukesha,13,20200214,CL,5/1/2020,Veterinary Services,Waukesha,WOW
Riddell Sports Group Inc.,Sun Prairie,109,20200217,CL,4/10/2020,Sporting Goods Stores,Dane,South Central
Bear Down Logistics Central,Sussex,95,20200218,CL,4/13/2020,Local Messengers & Local Delivery,Waukesha,WOW
Black Horse Carriers Inc.,Pewaukee,68,20200224,CL,2/24/2020,General Freight Trucking Long Distance TL,Waukesha,WOW
Cascio Music Co. Inc.,New Berlin,71,20200224,CL,4/20/2020,Musical Instrument & Supplies Stores,Waukesha,WOW
Knueppel Healthcare Services Inc.,West Allis,44,20200302,CL,4/30/2020,Food Health Supplement Stores,Milwaukee,Milwaukee
"Everbrite, LLC",Milwaukee,116,20200304,CL,4/27/2020,Sign Mfg.,Milwaukee,Milwaukee
Hutchinson Technology Inc.,Eau Claire,112,20200318,WR,5/16/2020,Computer Storage Device Mfg,Eau Claire,West Central
Punch Bowl Social,Milwaukee,91,20200319,WR,3/16/2020,Full-Service Restaurants,Milwaukee,Milwaukee
"Sub-Zero Group, Inc.",Fitchburg,1043,20200320,CL,3/22/2020,Major Household Appliance Manufacturing,Dane,South Central
Tower Clock Eye Center,"Green Bay, Manitowoc, Oconto, Shawano",75,20200320,CL,5/18/2020,Offices of Physicians exc Mental Health,"Brown, Manitowoc, Oconto, Shawano",Bay Area
Holiday Inn Convention Center Stevens Point,Stevens Point,143,20200323,WR,3/21/2020,Hotels & Motels exc Casino Hotels,Portage,North Central
Visual Impressions Inc,Milwaukee,41,20200323,WR,3/20/2020,Commercial Screen Printing,Milwaukee,Milwaukee
"Big Dot of Happiness, LLC",Menomonie,57,20200323,WR,3/18/2020,Electronic Shipping and Mail Order Houses,Dunn,West Central
Stroh Die Cast LLC,Mauston,71,20200323,CL,5/16/2020,Nonferrous Mtl Die-Casting Foundries,Juneau,Western
Wisconsin Central School Bus,Milwaukee,90,20200323,WR,3/16/2020,School & Employee Bus Trans,Milwaukee,Milwaukee
Wisconsin Central School Bus,New Richmond,48,20200323,WR,3/16/2020,School & Employee Bus Trans,St. Croix,West Central
Clearwing Production Inc.,Milwaukee,25,20200323,WR,3/16/2020,Independent Artists Writers & Performers,Milwaukee,Milwaukee
Hyatt Regency Milwaukee,Milwaukee,112,20200323,WR,3/16/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Mickeys Linen and Towel Supply Inc,Milwaukee,48,20200323,WR,3/18/2020,Linen Supply,Milwaukee,Milwaukee
Black Shoe Hospitality,Milwaukee,155,20200323,WR,3/16/2020,Commercial Bakeries/Full Service Restaurants,Milwaukee,Milwaukee
Eddie Martini's Enterprises,Wauwatosa,30,20200323,WR,3/17/2020,Full-Service Restaurants,Milwaukee,Milwaukee
Park Hotel Inc.,Madison,120,20200323,CL,3/22/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
HMS Host Corporation,Milwaukee,120,20200324,WR,3/20/2020,Limited-service restaurants,Milwaukee,Milwaukee
Holiday Inn & Suites Wausau Rothschild,Rothschild,60,20200324,WR,3/24/2020,Hotels & Motels exc Casino Hotels,Marathon,North Central
The Edgewater Management Company,Madison,202,20200325,WR,3/18/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Hospitality Democracy LLC,Milwaukee,234,20200325,CL,3/16/2020,Full-Service Restaurants,Milwaukee,Milwaukee
Kettle Moraine YMCA,"West Bend, Port Washington",700,20200325,CL,3/17/2020,Civic & Social Organizations,Washington,WOW
Take 5 Oil Change,"Baraboo, Bellevue, Brookfield, Brown Deer, Cedarburg, Crivitz, De Pere, Fitchburg, Glendale, Green Bay, Hales Corner, Hartford, Kenosha, Merrill, Milwaukee, Mukwonago, New Berlin, New London, Oak Creek, Racine, Reedsburg, Sheboygan, Sun Prairie, Waukesha, Wauwatosa, West Allis, Wisconsin Rapids",140,20200325,WR,3/22/2020,Automotive Oil Change & Lubrication Shops,"Brown, Dane, Dodge, Kenosha, Lincoln, Marinette, Milwaukee, Ozaukee, Racine, Sauk, Sheboygan, Waukesha, Waupaca, Wood","Bay Area, Fox Valley, Milwaukee, North Central, Southeast, South Central, WOW"
Schroeder Moving Systems,New Berlin,29,20200326,WR,3/30/2020,Used Household & Office Goods Moving,Waukesha,WOW
MicroStar Quality Services,Green Bay,44,20200326,WR,3/27/2020,All Other Consumer Goods Rental,Brown,Bay Area
Altitude Trampoline Park,Appleton,67,20200326,WR,3/17/2020,All Other Amusement & Recreation Ind,Outagamie,Bay Area
Catering A Fresco,Madison,68,20200326,CL,3/17/2020,Caterers,Dane,South Central
Tex Tubb's Taco Place,Madison,43,20200326,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Johnny Delmonico's,Madison,34,20200326,CL,3/17/2020,Full-Service Restaurants,Dane,South Central
Discovery Culinary Collaborative LLC,Madison,55,20200326,CL,3/17/2020,Full-Service Restaurants,Dane,South Central
Avenue Club,Madison,49,20200326,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Eldorado Grill,Madison,47,20200326,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Luigi's Pizzeria,Madison,34,20200326,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
DLUX,Madison,49,20200326,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Canteen,Madison,42,20200326,CL,3/17/2020,Full-Service Restaurants,Dane,South Central
Bar Corallini,Madison,27,20200326,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Monty's Blue Plate Diner,Madison,54,20200326,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Market Street Diner,Sun Prairie,45,20200326,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Craftsman Table and Tap,Middleton,49,20200326,CL,3/17/2020,Full-Service Restaurants,Dane,South Central
Bassett Street Brunch Club,Madison,62,20200326,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Great Lakes Services LLC,Madison,24,20200327,WR,4/3/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Great Lakes Services LLC,Madison,69,20200327,WR,4/2/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
The Coopers Tavern,Madison,70,20200327,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Hubbard Avenue Diner,Middleton,65,20200327,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Cento Restaurant LLC,Madison,78,20200327,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Everly and Miko Poke,Madison,68,20200327,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Fresco Restaurant,Madison,43,20200327,WR,3/17/2020,Full-Service Restaurants,Dane,South Central
Spectra Food Services and Hospitality,Green Bay,49,20200329,CL,3/26/2020,Food Service Contractors,Brown,Bay Area
Paper Source,Brookfield,9,20200330,WR,3/29/2020,Office Supplies & Stationery Stores,Waukesha,WOW
Paper Source,Glendale,9,20200330,WR,3/29/2020,Office Supplies & Stationery Stores,Milwaukee,Milwaukee
Paper Source,Madison,13,20200330,WR,3/29/2020,Office Supplies & Stationery Stores,Dane,South Central
Great Lakes Services,Baraboo,247,20200330,WR,3/16/2020,Hotels & Motels exc Casino Hotels,Sauk,South Central
"Schulte Hospitality Group, Inc.",Milwaukee,30,20200330,WR,3/16/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Collegiate Hotel Group,Madison,63,20200330,WR,3/16/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
"Schwaab, Inc.",Brookfield,42,20200330,WR,3/24/2020,Office Supplies (Exc Paper) Mfg,Waukesha,WOW
Rexnord Industries LLC,Grafton,140,20200330,WR,6/5/2020,Conveyor & Conveying Equip Mfg,Ozaukee,WOW
"Stateline Boys and Girls Clubs, Inc",Beloit,28,20200330,WR,3/30/2020,Civic & Social Organizations,Rock,Southwest
Reynolds Machine Company,New Berlin,36,20200330,WR,3/24/2020,Motor Vehicle Power Train Components Mfg,Waukesha,WOW
Data Dimensions  ,Janesville,260,20200330,CL,5/29/2020,Description Data Processing Hosting & Related Services,Rock,Southwest
Stateline Family YMCA,Beloit,200,20200330,WR,3/16/2020,Civic & Social Organizations,Rock,Southwest
"SSA Group, LLC  ",Milwaukee,319,20200330,WR,3/29/2020,Limited-service restaurants,Milwaukee,Milwaukee
Delavan Lake Resort,Delavan,11,20200330,CL,3/16/2020,All Other Traveler Accommodation,Walworth,Southeast
Lake Lawn Resort,Delevan,305,20200330,CL,3/16/2020,Hotels & Motels exc Casino Hotels,Walworth,Southeast
YMCA of the Northwoods,Rhinelander,109,20200331,CL,3/17/2020,Civic & Social Organizations,Oneida,North Central
Cinemark USA Inc.,Kenosha,51,20200331,CL,3/26/2020,Motion Picture Theaters exc Drive Ins,Kenosha,Southeast
California Pizza Kitchen,Glendale,36,20200331,CL,3/22/2020,Full-service restaurants,Milwaukee,Milwaukee
FeraDyne Outdoors,Superior,226,20200331,CL,3/25/2020,Sporting & Athletic Goods Mfg,Douglas,Northwest
Stevens Point YMCA,Stevens Point,324,20200331,CL,3/18/2020,Civic & Social Organizations,Portage,North Central
AJLS Enterprises Inc.,Madison,56,20200402,WR,4/3/2020,Ice Cream & Frozen Dessert Mfg,Dane,South Central
PlayMonster LLC,Beloit,31,20200402,WR,4/6/2020,"Doll, Toy, & Game Mfg",Rock,Southwest
Bartaco,Madison,67,20200402,CL,3/21/2020,Full-service restaurants,Dane,South Central
"Chandler Exhibits, Inc.",Hudson,34,20200402,CL,3/25/2020,Other Specialized Design Services,St. Croix,West Central
Bernick's,"Dresser, Superior",25,20200403,WR,4/1/2020,Other Grocery Product Merch Whls,"Polk, Douglas","West Central, Northwest"
Caleres Inc,Port Washington,213,20200403,CL,3/20/2020,Footwear Merch Whls,Ozaukee,WOW
Caleres/Woodlore Manufacturing,Port Washington,28,20200403,CL,3/20/2020,Misc Wood Product Mfg,Ozaukee,WOW
Gray & Associates,New Berlin,28,20200403,WR,4/3/2020,Offices of Lawyers,Waukesha,WOW
La Crosse Area Family YMCA  ,"La Crosse, Onalaska",562,20200403,WR,3/18/2020,Civic & Social Organizations,La Crosse,Western
eImprovement LLC,Pleasant Prairie,60,20200403,CL,4/30/2020,Electronic Shopping and Mail-Order Houses,Kenosha,Southeast
PC/Nametag Inc.,Verona,46,20200403,WR,4/6/2020,Electronic Shopping and Mail-Order Houses,Dane,South Central
Spectra Food Services and Hospitality,Baraboo,172,20200406,CL,3/26/2020,Food Service Contractors,Sauk,South Central
Chapter 2 Inc.,Lake Mills,26,20200406,WR,4/3/2020,Special Tool Die Jig & Fixture Mfg,Jefferson,South Central
"Van's Supply & Equipment, Inc.",Green Bay,37,20200406,WR,3/29/2020,New Car Dealers,Brown,Bay Area
YMCA of Greater Waukesha County,"Waukesha, Menomonee Falls, Greenfield, Wauwatosa, New Berlin, Mukwonago",1100,20200406,CL,3/17/2020,Civic & Social Organizations,"Waukesha, Milwaukee","WOW, Milwaukee"
YMCA of Dodge County,Beaver Dam,89,20200406,WR,3/16/2020,Civic & Social Organizations,Dodge,South Central
Uncle Julio's,Brookfield,93,20200406,CL,3/19/2020,Full-service restaurants,Waukesha,WOW
Woodson YMCA,Wausau,300,20200406,CL,3/17/2020,Fitness & Recreational Sports Centers,Marathon,North Central
Geneva Lakes Family YMCA,Lake Geneva,117,20200406,WR,3/17/2020,Civic & Social Organizations,Walworth,Southeast
"Hobby Lobby Stores, Inc.","Appleton, Brookfield, Eau Claire, Franklin, Green Bay, Janesville, Kenosha, Madison, Manitowoc, Menomonee Falls, Monona, Onalaska, Oshkosh, Racine, Rhinelander, Rice Lake, Waukesha, Wausau, Wauwatosa, West Allis, West Bend",639,20200406,CL,3/25/2020,Hobby Toy & Game Stores,"Barron, Brown, Dane, Eau Claire, Kenosha, La Crosse, Manitowoc, Marathon, Milwaukee, Oneida, Outagamie, Racine, Rock, Washington, Winnebago","Bay Area, Fox Valley, Milwaukee, North Central, South Central, Southeast, Southwest, WOW, West Central, Western"
Greater Green Bay YMCA,"Green Bay, Brussels, Suring",829,20200406,WR,3/15/2020,Civic & Social Organizations,"Brown, Oconto, Door",Bay Area
Manitowoc-Two Rivers YMCA,Manitowoc,219,20200407,CL,4/6/2020,Civic & Social Organizations,Manitowoc,Bay Area
Advanced Pain Management,Greenfield,50,20200407,WR,5/1/2020,Offices of Physicians exc Mental Health,Milwaukee,Milwaukee
YMCA of the Chippewa Valley,"Chippewa Falls, Eau Claire, New Auburn",557,20200407,CL,3/19/2020,Civic & Social Organizations,"Chippewa, Eau Claire",West Central
Pace Industries,Grafton,381,20200408,WR,3/20/2020,Aluminum Die Casting Foundries,Ozaukee,WOW
Abercrombie & Fitch,"Appleton, La Crosse, Wauwatosa",123,20200408,CL,4/12/2020,Family Clothing Stores,"La Crosse, Milwaukee, Outagamie","Bay Area, Milwaukee, Western"
Prospect International Airport Services Corp.,Milwaukee,48,20200408,WR,4/22/2020,Other Airport Operations,Milwaukee,Milwaukee
American Greetings,Statewide,153,20200408,WR,3/23/2020,All Other Support Services,Statewide,Statewide
Tetra PAK Processing Equipment Inc.,Windsor,39,20200409,CL,7/3/2020,Food Product Machinery Mfg,Dane,South Central
Meetings and Incentives Worldwide Inc,Caledonia,15,20200409,WR,3/5/2020,Convention & Trade Show Organizers,Racine,Southeast
Server Products Inc,Richfield,53,20200409,WR,3/30/2020,Other Com & Service Ind Machinery Mfg,Washington,WOW
Glacial Community YMCA,"Oconomowoc, Watertown",542,20200409,WR,3/16/2020,Civic & Social Organizations,"Waukesha, Dodge","WOW, South Central"
Patientpop,Menasha,1,20200410,WR,3/27/2020,Marketing Consulting Services,Winnebago,Fox Valley
"Hooters of America, LLC","Madison, Brookfield",61,20200410,WR,3/16/2020,Full-service restaurants,"Dane, Waukesha","South Central, WOW"
Scholastic,Milwaukee,53,20200413,WR,3/18/2020,Book & Periodical Merch Whls,Milwaukee,Milwaukee
Safran Aerosystems Services Americas LLC,Menomonee Falls,29,20200413,WR,4/14/2020,Other Elect Equip Repair,Waukesha,WOW
Nordstrom Inc.,"Madison, Wauwatosa",218,20200414,WR,4/5/2020,Deparment Stores,"Dane, Milwaukee","South Central, Milwaukee"
YMCA of Northern Rock County,"Janesville, Milton",142,20200414,WR,3/27/2020,Civic & Social Organizations,Rock,Southwest
"Bars & Recreation, Inc.",Milwaukeee,38,20200414,WR,3/30/2020,Drinking Places Alcoholic Beverages,Milwaukee,Milwaukee
LSC Communications,Baraboo,393,20200415,WR,4/20/2020,Commercial Gravure Printing,Sauk,South Central
Ashley Furniture Industries Inc.,Whitehall,70,20200416,WR,4/16/2020,Upholstered Household Furn Mfg,Trempealeau,Western
Milwaukee Center for Independence,Milwaukee,128,20200417,WR,4/30/2020,Other Individual & Family Services,Milwaukee,Milwaukee
The Finish Line,"Green Bay, Greendale, Janesville, Johnson Creek, Madison, Racine, Wauwatosa",131,20200417,WR,4/12/2020,Shoe Stores,"Brown, Dane, Jefferson, Milwaukee, Racine, Rock","Bay Area, Milwaukee, South Central, Southeast, Southwest"
The Finish Line Macy's,Wauwatosa,3,20200417,WR,4/2/2020,Shoe Stores,Milwaukee,Milwaukee
Baker Manufacturing Company LLC,Evansville,49,20200417,WR,4/20/2020,Other Com & Service Ind Machinery Mfg,Rock,Southwest
Goodwill,"Ashland, Superior",20,20200420,WR,4/16/2020,Used Merchandise Stores,"Ashland, Douglas",Northwest
YMCA of the Fox Cities,"Appleton, Greenville, Kimberly, Neenah",1546,20200420,WR,3/16/2020,Civic & Social Organizations,"Outagamie, Winnebago","Bay Area, Fox Valley"
Emmi Roth,Seymour,32,20200421,WR,4/13/2020,Cheese Mfg,Outagamie,Bay Area
Great Lakes Specialty Finance Inc.,"Wautoma, Portage, Delevan, Milwaukee, Sheboygan, Madison, Appleton, Fond du Lac, Beloit, Janesville, West Bend, Green Bay, Eau Claire, Wausau, Marinette, Hudson, Racine, Marshfield, Superior, Shawano",28,20200421,WR,5/1/2020,Consumer Lending,"Waushara, Columbia, Walworth, Milwaukee, Sheboygan, Dane, Outagamie, Fond du Lac, Rock, Washington, Brown, Eau Claire, Marathon, Marinette, St. Croix, Racine, Shawano","Southeast, Milwaukee, WOW, Fox Valley, Bay Area, North Central, Northwest, West Central, South Central, Southwest"
Hutchinson Technology Inc.,Eau Claire,110,20200421,WR,5/28/2020,Computer Storage Device Mfg,Eau Claire,West Central
Visionworks,"Kenosha, Milwaukee, Shorewood, West Allis, Wauwatosa, Greendale, Mequon, West Bend, Brookfield, Waukesha, Oconomowoc, Menomonee Falls, Eau Claire, La Crosse",97,20200422,CL,4/5/2020,Optical Goods Stores,"Eau Claire, Kenosha, La Crosse, Milwaukee, Ozaukee, Washington, Waukesha","Southeast, Milwaukee, WOW, West Central, Western"
Marquis Yachts,Pulaski,117,20200423,WR,6/26/2020,Boat Bldg,Brown,Bay Area
Van Galder Bus / Coach USA,Janesville,258,20200423,WR,3/14/2020,Interurban & Rural Bus Trans,Rock,Southwest
Hi-Crush Services,Whitehall,35,20200423,WR,3/30/2020,Ind Sand Mining,Trempealeau,Western
Hi-Crush Services,Taylor,32,20200423,WR,3/30/2020,Ind Sand Mining,Trempealeau,Western
Bed Bath & Beyond Inc.,Brookfield,55,20200424,WR,4/4/2020,All Other Home Furnishings Stores,Waukesha,WOW
Metals USA Carbon Flat Rolled Inc,Horicon,10,20200427,WR,4/23/2020,Metal Merch Whls,Dodge,South Central
Global Finishing Solutions,Osseo,94,20200427,WR,4/28/2020,Sheet Metal Work Mfg,Trempealeau,Western
Smart Sand Inc.,Tomah,55,20200428,WR,5/1/2020,Ind Sand Mining,Monroe,Western
The Hertz Corporation,Milwaukee,38,20200428,WR,4/14/2020,Passenger Car Rental,Milwaukee,Milwaukee
Footlocker.com/Eastbay,Wausau,1,20200428,WR,4/26/2020,Managing Offices,Marathon,North Central
Foot Locker,"Appleton, Brookfield, Glendale, Green Bay, Greendale, La Crosse, Madison, Milwaukee, Racine, Wauwatosa",261,20200428,WR,4/26/2020,Shoe Stores,"Brown, Dane, La Crosse, Milwaukee, Outagamie, Racine, Waukesha","Bay Area, Milwaukee County, South Central, Southeast, WOW, Western"
Eastbay Retail Store,Wausau,21,20200428,WR,4/26/2020,Shoe Stores,Marathon,North Central
Enterprise Holdings,"Waukesha, Oak Creek, Milwaukee",260,20200429,WR,3/23/2020,Passenger Car Rental,"Waukesha, Milwaukee","Milwaukee, WOW"
Sheraton Milwaukee Brookfield Hotel,Brookfield,101,20200430,WR,3/27/2020,Hotels & Motels exc Casino Hotels,Waukesha,WOW
Bluegreen Vacations,Wisconsin Dells,242,20200430,WR,3/27/2020,Lessors of Residentials Bldgs,Sauk,South Central
Covia Corp.,Tomah,32,20200504,WR,5/4/2020,Ind Sand Mining,Monroe,Western
Holy Family College,Manitowoc,110,20200506,CL,5/6/2020,Colleges & Universities,Manitowoc,Bay Area
Badger Mining Corporation,Taylor,38,20200514,WR,5/14/2020,Ind Sand Mining,Jackson,Western
Atrium Hospitality,Middleton,125,20200518,WR,3/12/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Foremost Farms USA,Chilton,50,20200518,CL,7/17/2020,Cheese Mfg,Calumet,Fox Valley
"Wigwam Mills, Inc.",Sheboygan,121,20200522,WR,6/1/2020,Other Hosiery & Sock Mills,Sheboygan,Bay Area
Documation LLC,Eau Claire,28,20200526,WR,6/9/2020,Commercial Gravure Printing,Eau Claire,West Central
BRP US,Sturtevant,387,20200527,WR,5/27/2020,Other Engine Equip Mfg,Racine,Southeast
Alkar-Rapid Pak Inc.,Lodi,25,20200528,WR,5/18/2020,Food Product Machinery Mfg,Columbia,South Central
Renaissance Manufacturing Group,Waukesha,120,20200601,CL,7/31/2020,Iron Foundries,Waukesha,WOW
Union Cab of Madison Cooperative,Madison,126,20200601,WR,3/22/2020,Taxi Service,Dane,South Central
Humane Manufacturing LLC,Baraboo,21,20200601,CL,7/31/2020,Resilient Floor Covering Mfg.,Sauk,South Central
PMI Entertainment Group Inc.,Green Bay,31,20200604,WR,7/1/2020,Promoters With Facilities,Brown,Bay Area
Astec Industries Inc and Telsmith Inc,Mequon,135,20200608,CL,8/14/2020,Construction Machinery Mfg,Ozaukee,WOW
Verso Corporation,Wisconsin Rapids,902,20200610,CL,7/31/2020,Paper exc Newsprint Mills,Wood,North Central
Nova Wildcat Shur-Line LLC,St. Francis,93,20200612,CL,8/14/2020,Broom Brush & Mop Mfg,Milwaukee,Milwaukee
Derse Inc.,Milwaukee,87,20200612,WR,6/11/2020,Sign Mfg.,Milwaukee,Milwaukee
Hyatt Corporation,Green Bay,42,20200615,WR,3/22/2020,Hotels & Motels exc Casino Hotels,Brown,Bay Area
Catalytic Combustion,Bloomer,26,20200615,WR,6/7/2020,Air Purification Equip Mfg,Chippewa,West Central
Novares Americas Engine Components Inc,Richland Center,74,20200617,CL,8/17/2020,All Other Plastics Product Mfg.,Richland,Southwest
American Phoenix,Eau Claire,46,20200619,WR,6/19/2020,All Other Rubber Product Mfg,Eau Claire,West Central
"Graceland Fruit Wisconsin, Inc.",Warrens,65,20200623,CL,6/18/2020,Dried & Dehydrated Food Mfg,Monroe,Western
"Demco, Inc.","Madison, Deforest",38,20200625,WR,8/3/2020,Office Supplies Merch Whls,Dane,South Central
Levy Premium Food Service at Fiserv Forum,Milwaukee,47,20200625,WR,8/1/2020,Food Service Contractors,Milwaukee,Milwaukee
Levy Premium Food Service at Wisconsin Center District,Milwaukee,25,20200625,WR,8/1/2020,Food Service Contractors,Milwaukee,Milwaukee
ALG Vacations,Milwaukee,149,20200625,WR,7/1/2020,Tour Operators,Milwaukee,Milwaukee
Hilton Madison Monona Terrace,Madison,40,20200625,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Dane,South Central
Hilton Milwaukee City Center,Milwaukee,211,20200625,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
The Pfister Hotel,Milwaukee,89,20200625,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Saint Kate - The Arts Hotel,Milwaukee,42,20200625,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
SafeHouse Milwaukee,Milwaukee,1,20200625,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Wisconsin Hospitality Linen Service,Milwaukee,1,20200625,WR,7/31/2020,Linen Supply,Milwaukee,Milwaukee
Marcus Hotels,Milwaukee,13,20200625,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Grand Geneva Resort & Spa,Lake Geneva,23,20200626,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Walworth,Southeast
Timber Ridge Lodge & Waterpark,Lake Geneva,5,20200626,WR,7/31/2020,Hotels & Motels exc Casino Hotels,Walworth,Southeast
Briggs & Stratton,Wauwatosa,228,20200626,WR,8/28/2020,Motor & Generator Mfg,Milwaukee,Milwaukee
Adecco USA Inc.,Wauwatosa,120,20200629,WR,8/28/2020,Motor & Generator Mfg,Milwaukee,Milwaukee
GE Healthcare,Wauwatosa,123,20200630,WR,8/31/2020,Medical Equip Merch Whls,Milwaukee,Milwaukee
Kimpton Journeyman Hotel,Milwaukee,97,20200701,WR,3/15/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
Hilton Garden Inn - Milwaukee Airport,Milwaukee,48,20200702,WR,6/30/2020,Hotels & Motels exc Casino Hotels,Milwaukee,Milwaukee
